Skip to main content Search Search Search Toggle navigation Cornell University Registrar Classes + Enrollment Class Roster Courses of Study Courses of Study Archive Student Essentials Gateway Courses Prorated Tuition Student Center FAQ Classes and Enrollment FAQ University Registration Calendars + Exams Academic Calendar Final Exam Policies Spring Prelim Schedule Spring Final Exam Schedule Fall Prelim Exam Schedule Fall Final Exam Schedule Grades + Transcripts Grading Median Grades Ordering Transcripts Transcript FAQ Transcript Keys Validating an eTranscript Service + Resources Apostille Certifications University Registrar Directory College Advising Directory College Registrar Directory Diploma Information Disability Accommodations FERPA ID Cards Mental Health at Cornell Names and Name Changes Use of Student Data Veteran Education Benefits Building Codes Faculty + Staff Faculty Center/Advisor Center Advisor Center FAQ Opscan Scanning Service Changing CIP Codes Data Requests Program Registration For Registrar Staff Spring Final Exam Schedule NOTE: These dates may include Religious Holidays for some students. NYS Education Law §224-A mandates that faculty make available an opportunity to make up any examination missed because of religious beliefs. In order to facilitate preparation of makeup exams, students intending to be absent in order to observe any of these holidays are requested to notify the instructor by Friday, April 1, 2022. For additional information about Final Exam policies, see the Faculty Handbook. 
Class              date          time     exam location or date due
ANSC 6290 001    5/18/2022      2:00 PM   Morrison Hall 163
ANSC 6410 001    5/14/2022      2:00 PM   Morrison Hall 334
ANSC 6700 001    5/21/2022      9:00 AM   Morrison Hall 146

ANTHR 1101 101   5/18/2022      2:00 PM   Johnson Museum of Art
ANTHR 1101 103   5/18/2022      4:30 PM   Final Deliverable due
ANTHR 1101 106   5/19/2022      4:30 PM   Final Deliverable due
ANTHR 1101 107   5/18/2022      4:30 PM   Final Deliverable due
ANTHR 1300 001   5/17/2022     12:00 PM   Final Deliverable due
ANTHR 2201 001   5/18/2022     12:00 PM   Final Deliverable due
ANTHR 2285 001   5/19/2022      9:00 AM   Goldwin Smith Hall G64 Kau Aud
ANTHR 2400 001   5/21/2022      9:00 AM   Goldwin Smith Hall G76 Lewis
ANTHR 2440 001   5/14/2022      2:00 PM   McGraw Hall 165
ANTHR 2465 001   5/19/2022      4:30 PM   Final Deliverable due
ANTHR 2468 001   5/18/2022     12:00 PM   Final Deliverable due
ANTHR 2720 001   5/19/2022      4:30 PM   Final Deliverable due
ANTHR 2846 001   5/16/2022      7:00 PM   Rockefeller Hall 122
ANTHR 3042 101   5/19/2022      4:30 PM   Final Deliverable due
ANTHR 3235 001   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 3255 001   5/19/2022      4:30 PM   Final Deliverable due
ANTHR 3325 001   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 3390 001   5/17/2022      4:30 PM   Final Deliverable due
ANTHR 3405 001   5/18/2022      4:30 PM   Final Deliverable due
ANTHR 3487 101   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 3703 001   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 3950 101   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 4222 101   5/18/2022     12:00 PM   Final Deliverable due
ANTHR 4240 101   5/18/2022     12:00 PM   Final Deliverable due
ANTHR 4250 101   5/19/2022      4:30 PM   Final Deliverable due
ANTHR 4264 101   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 4437 101   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 4470 101   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 4478 101   5/17/2022      4:30 PM   Final Deliverable due
ANTHR 4725 101   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 6025 101   5/19/2022     12:00 PM   Final Deliverable due
ANTHR 6042 101   5/19/2022      4:30 PM   Final Deliverable due
ANTHR 6101 101   5/19/2022     12:00 PM   Final Deliverable due
ANTHR 6102 101   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 6235 001   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 6250 101   5/19/2022      4:30 PM   Final Deliverable due
ANTHR 6255 001   5/19/2022      4:30 PM   Final Deliverable due
ANTHR 6487 101   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 6703 001   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 7222 101   5/18/2022     12:00 PM   Final Deliverable due
ANTHR 7240 101   5/18/2022     12:00 PM   Final Deliverable due
ANTHR 7264 101   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 7437 101   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 7470 101   5/16/2022     12:00 PM   Final Deliverable due
ANTHR 7478 101   5/17/2022      4:30 PM   Final Deliverable due
ANTHR 7725 101   5/16/2022     12:00 PM   Final Deliverable due

ARCH 1612 001    5/17/2022      2:00 PM   Baker Laboratory 200
ARCH 1802 001    5/15/2022      7:00 PM   Klarman Hall KG70
ARCH 1802 201    5/19/2022      4:30 PM   Final Deliverable due
ARCH 1802 202    5/19/2022      4:30 PM   Final Deliverable due
ARCH 1802 203    5/19/2022      4:30 PM   Final Deliverable due
ARCH 1802 204    5/17/2022     12:00 PM   Final Deliverable due
ARCH 1802 205    5/17/2022     12:00 PM   Final Deliverable due
ARCH 1901 101    5/18/2022     12:00 PM   Final Deliverable due
ARCH 2615 001    5/16/2022      7:00 PM   Goldwin Smith Hall 132 HEC Aud
ARCH 3308 108    5/16/2022      4:30 PM   Final Deliverable due
ARCH 3819 103    5/16/2022      4:30 PM   Final Deliverable due
ARCH 3819 104    5/16/2022      4:30 PM   Final Deliverable due
ARCH 4408 104    5/16/2022      4:30 PM   Final Deliverable due
ARCH 4408 108    5/16/2022      4:30 PM   Final Deliverable due
ARCH 4509 102    5/16/2022      4:30 PM   Final Deliverable due
ARCH 4601 001    5/19/2022      4:30 PM   Final Deliverable due
ARCH 4605 107    5/16/2022      4:30 PM   Final Deliverable due
ARCH 5201 001    5/16/2022      4:30 PM   Final Deliverable due
ARCH 5612 001    5/17/2022      2:00 PM   Baker Laboratory 200
ARCH 5615 001    5/16/2022      7:00 PM   Goldwin Smith Hall 132 HEC Aud
ARCH 5802 001    5/15/2022      7:00 PM   Klarman Hall KG70
ARCH 5819 103    5/16/2022      4:30 PM   Final Deliverable due
ARCH 5819 104    5/16/2022      4:30 PM   Final Deliverable due
ARCH 6308 108    5/16/2022      4:30 PM   Final Deliverable due
ARCH 6408 104    5/16/2022      4:30 PM   Final Deliverable due
ARCH 6408 106    5/17/2022     12:00 PM   Final Deliverable due
ARCH 6408 107    5/16/2022      4:30 PM   Final Deliverable due
ARCH 6408 108    5/16/2022      4:30 PM   Final Deliverable due
ARCH 6408 113    5/16/2022     12:00 PM   Final Deliverable due
ARCH 6509 102    5/16/2022      4:30 PM   Final Deliverable due
ARCH 6605 107    5/16/2022      4:30 PM   Final Deliverable due
ARCH 6819 102    5/17/2022     12:00 PM   Final Deliverable due
ARCH 6819 103    5/16/2022      4:30 PM   Final Deliverable due
ARCH 8911 101    5/18/2022     12:00 PM   Final Deliverable due

ARKEO 2201 001   5/18/2022     12:00 PM   Final Deliverable due
ARKEO 2271 101   5/18/2022     12:00 PM   Final Deliverable due
ARKEO 2285 001   5/19/2022      9:00 AM   Goldwin Smith Hall G64 Kau Aud
ARKEO 2465 001   5/19/2022      4:30 PM   Final Deliverable due
ARKEO 2668 001   5/15/2022      2:00 PM   Online Exam
ARKEO 2712 001   5/16/2022      4:30 PM   Final Deliverable due
ARKEO 2720 001   5/19/2022      4:30 PM   Final Deliverable due
ARKEO 2812 001   5/18/2022      4:30 PM   Final Deliverable due
ARKEO 2846 001   5/16/2022      7:00 PM   Rockefeller Hall 122
ARKEO 3042 101   5/19/2022      4:30 PM   Final Deliverable due
ARKEO 3225 001   5/15/2022      2:00 PM   Goldwin Smith Hall G76 Lewis
ARKEO 3235 001   5/16/2022     12:00 PM   Final Deliverable due
